bidx,month,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years
0,1,334.4838,89.604576,229.9471,252.84756,310.49472,21
0,2,341.11676,91.450836,221.75406,238.07108,364.0161,21
0,3,349.88406,72.94385,247.40752,301.26105,338.8752,21
0,4,420.74615,141.99113,254.09785,270.97394,412.9121,21
0,5,425.0188,87.89941,379.05298,386.5046,422.78113,21
0,6,270.81586,60.85622,202.20639,211.05214,278.53366,21
0,7,200.34203,54.800766,134.11253,143.27054,198.51933,21
0,8,128.87444,53.88965,85.73939,87.36954,121.67517,21
0,9,50.103924,20.766167,23.29374,28.286657,48.484505,21
0,10,56.159016,21.129644,37.7568,42.51702,49.93499,21
0,11,95.289696,44.451126,40.383507,63.446465,81.771065,21
0,12,215.76517,70.480705,141.2738,153.85912,217.36113,21
1,1,426.6077,151.96237,264.44058,304.33582,408.38382,21
1,2,426.4974,118.80879,286.0567,309.21393,447.22537,21
1,3,476.55905,143.46977,340.09116,377.26126,447.3765,21
1,4,535.53314,174.89131,291.1877,404.95468,543.6009,21
1,5,491.35425,132.01044,395.06287,439.51544,482.736,21
1,6,304.5049,87.68386,224.10278,229.39175,317.85208,21
1,7,193.3656,57.056847,115.64217,133.17784,199.02289,21
1,8,86.14691,29.064947,58.799095,62.838497,76.95996,21
1,9,29.611282,12.278786,15.697463,18.26938,27.728228,21
1,10,28.073841,13.059879,15.197325,18.731504,22.562952,21
1,11,75.00678,43.127598,29.937511,31.827038,71.44498,21
1,12,230.86198,99.95162,118.70839,152.40956,210.6279,21
2,1,358.56653,134.04985,197.18767,276.2658,337.18976,21
2,2,432.1354,143.15216,296.9841,320.1717,412.23334,21
2,3,500.62604,174.944,304.39203,359.45166,469.66028,21
2,4,505.45746,138.49326,309.6147,412.8164,476.52725,21
2,5,376.4741,98.02106,285.8873,323.27298,377.1453,21
2,6,251.73407,99.287704,134.27681,177.65623,264.5262,21
2,7,142.76698,54.66232,74.27777,91.818756,143.48059,21
2,8,59.657967,19.095175,32.56421,41.435608,64.770935,21
2,9,16.362627,5.7950873,9.671847,11.439822,16.505362,21
2,10,15.2270155,8.328337,7.1047163,7.2250853,12.86718,21
2,11,23.593327,15.403166,10.050315,10.843121,20.793577,21
2,12,100.55123,52.755013,43.614044,50.174454,97.08943,21
3,1,298.9572,137.33475,150.9532,167.18843,273.2829,21
3,2,405.62723,132.01515,261.33575,287.34268,395.13834,21
3,3,454.6931,136.96875,288.92548,350.77353,424.49716,21
3,4,485.00552,133.27348,341.36258,355.36624,458.56393,21
3,5,344.50464,89.5679,260.2404,279.2732,374.01453,21
3,6,224.68141,92.596756,111.00726,152.8727,217.49127,21
3,7,136.46884,52.474804,71.260544,97.36226,128.84216,21
3,8,56.490734,18.357998,35.06096,40.665424,54.51466,21
3,9,11.995049,3.3116214,8.864732,9.608134,11.748123,21
3,10,7.3843384,4.253511,2.228148,3.5150003,7.024594,21
3,11,12.365862,9.930958,2.914363,4.4031754,9.239385,21
3,12,80.66983,46.683872,32.67909,40.637257,76.52276,21
4,1,284.55157,105.0643,133.30042,203.07895,285.72253,21
4,2,343.0994,85.47151,258.80698,263.61963,337.53943,21
4,3,426.90717,102.16992,302.32907,350.3934,399.97333,21
4,4,393.2556,81.196686,311.55444,333.31714,375.9756,21
4,5,310.0612,72.34017,247.13832,262.601,321.12054,21
4,6,231.78821,59.56921,177.72037,183.41093,241.21057,21
4,7,172.50137,55.913143,93.53315,119.6526,178.10628,21
4,8,76.96432,27.687449,49.557564,55.328022,67.97574,21
4,9,20.191822,7.876469,11.816275,13.354204,19.545963,21
4,10,19.996561,11.269961,8.334011,10.221667,15.907043,21
4,11,34.473263,26.703974,9.290242,13.168941,24.766077,21
4,12,124.208496,64.558044,59.523163,63.710304,116.59696,21
5,1,265.93927,87.8636,120.691055,205.61383,255.89732,21
5,2,323.79614,75.48106,234.58528,269.32236,304.47458,21
5,3,379.95975,84.74233,283.30045,306.79288,387.265,21
5,4,358.96307,56.57023,310.48868,317.35095,349.18497,21
5,5,305.71616,61.181858,242.68393,275.46545,301.91663,21
5,6,222.8656,49.053516,175.2752,181.81165,216.91618,21
5,7,185.37614,57.34307,129.66191,141.46327,184.40631,21
5,8,78.40234,26.036842,47.465385,58.655655,80.892494,21
5,9,32.458538,16.5486,14.220203,18.028738,28.062252,21
5,10,36.529404,20.604362,16.15322,18.705132,33.091274,21
5,11,67.89416,51.860065,17.060677,25.066467,43.622116,21
5,12,158.81067,78.509415,85.622406,88.773155,158.82126,21
6,1,255.13274,94.85399,117.435936,194.0804,259.82227,21
6,2,337.60248,79.560844,245.17963,289.78748,330.44064,21
6,3,367.9974,75.55424,253.00244,326.93787,397.05075,21
6,4,352.07532,62.840397,279.45673,310.1018,336.2955,21
6,5,304.71024,69.732544,223.36429,244.25041,301.39096,21
6,6,253.87161,65.014755,167.9393,209.98892,255.4388,21
6,7,179.97456,57.830513,114.687515,129.60815,176.7681,21
6,8,89.472466,39.833714,49.099308,60.615036,77.938515,21
6,9,33.572727,16.134201,14.407462,20.348019,29.288635,21
6,10,33.220512,26.49438,7.4549017,17.353271,22.316576,21
6,11,52.309425,47.65525,12.066299,13.551893,36.93886,21
6,12,136.78244,69.54554,57.875988,74.31969,131.58188,21
7,1,254.73744,73.41537,156.30695,193.19878,271.83575,21
