bidx,start,end,duration_days,start_year,end_year,crosses_new_year,deficit_mm,mean_intensity,max_intensity,peak_date,severe_days,wet_days_absorbed,min_p30_mm,duration_class,severity,severe_day_share
0,2019-01-19,2019-08-03,197,2019,2019,False,493.0681762695313,0.2791449725627899,0.777226984500885,2019-03-27,108,36,57.90950393676758,extreme 120+ d,severe,0.548
0,2019-09-13,2019-09-29,17,2019,2019,False,6.799327850341797,0.2896647453308105,0.5185571312904358,2019-09-19,9,0,20.6987533569336,short 15-29 d,severe,0.529
0,2019-11-06,2019-11-22,17,2019,2019,False,4.612414360046387,0.1734503507614135,0.3513130843639374,2019-11-19,1,0,31.84217071533203,short 15-29 d,mild,0.059
0,2020-01-15,2020-04-02,79,2020,2020,False,248.7266387939453,0.3959994614124298,0.7366946339607239,2020-03-17,70,0,67.0474853515625,long 60-119 d,severe,0.886
0,2023-03-08,2023-07-13,128,2023,2023,False,160.82754516601562,0.132395714521408,0.4165624380111694,2023-04-08,48,25,146.09124755859375,extreme 120+ d,moderate,0.375
0,2023-08-19,2023-11-25,99,2023,2023,False,69.65658569335938,0.4435711205005646,0.8421109914779663,2023-09-04,79,1,10.254356384277344,long 60-119 d,severe,0.798
0,2024-01-24,2024-05-01,99,2024,2024,False,242.6054534912109,0.2928037643432617,0.6635240316390991,2024-03-25,69,6,87.12849426269531,long 60-119 d,severe,0.697
0,2024-06-30,2024-07-28,29,2024,2024,False,16.429256439208984,0.0962081626057624,0.3086980581283569,2024-07-24,4,2,109.18038177490234,short 15-29 d,mild,0.138
0,2024-11-02,2024-11-22,21,2024,2024,False,11.692809104919434,0.4121910333633423,0.8516528606414795,2024-11-09,9,0,6.108750820159912,short 15-29 d,moderate,0.429
0,2025-04-28,2025-05-28,31,2025,2025,False,36.614070892333984,0.1098217964172363,0.2351992279291153,2025-05-09,8,2,244.07666015625,moderate 30-59 d,moderate,0.258
1,2019-02-09,2019-07-24,166,2019,2019,False,607.1397705078125,0.3266349136829376,0.7729324102401733,2019-04-06,98,25,78.31397247314453,extreme 120+ d,severe,0.59
1,2020-01-15,2020-04-28,105,2020,2020,False,309.880859375,0.2704833745956421,0.6453486680984497,2020-03-12,61,19,117.68640899658205,long 60-119 d,severe,0.581
1,2020-06-02,2020-06-16,15,2020,2020,False,11.801024436950684,0.0688653960824012,0.134711816906929,2020-06-06,0,0,293.5794982910156,short 15-29 d,mild,0.0
1,2021-06-13,2021-07-13,31,2021,2021,False,33.95622634887695,0.1066936701536178,0.2775095403194427,2021-06-26,10,6,166.68914794921875,moderate 30-59 d,moderate,0.323
1,2022-05-01,2022-05-30,30,2022,2022,False,35.831905364990234,0.0813476741313934,0.2261360138654709,2022-05-14,2,3,315.05694580078125,moderate 30-59 d,mild,0.067
1,2023-03-07,2023-07-04,120,2023,2023,False,372.4267578125,0.2777175307273865,0.7118317484855652,2023-06-23,74,7,75.78133392333984,extreme 120+ d,severe,0.617
1,2023-08-04,2023-11-25,114,2023,2023,False,33.44257354736328,0.2424343675374984,0.7298184037208557,2023-09-01,55,10,8.333003044128418,long 60-119 d,moderate,0.482
1,2024-01-25,2024-05-04,101,2024,2024,False,302.16558837890625,0.2819891571998596,0.6479184627532959,2024-02-22,66,7,104.48963928222656,long 60-119 d,severe,0.653
1,2024-08-04,2024-08-28,25,2024,2024,False,20.569774627685547,0.3460336625576019,0.64595627784729,2024-08-25,14,0,21.324018478393555,short 15-29 d,severe,0.56
1,2024-12-12,2024-12-30,19,2024,2024,False,11.420442581176758,0.1881994754076004,0.3535791039466858,2024-12-27,3,0,53.68461608886719,short 15-29 d,mild,0.158
1,2025-03-19,2025-04-02,15,2025,2025,False,20.55433654785156,0.1213374361395835,0.2751694619655609,2025-03-25,5,0,245.4032287597656,short 15-29 d,moderate,0.333
1,2025-04-10,2025-07-25,107,2025,2025,False,141.90097045898438,0.0623232834041118,0.3952690362930298,2025-05-09,24,38,124.28421783447266,long 60-119 d,moderate,0.224
1,2025-09-07,2025-09-22,16,2025,2025,False,1.7881711721420288,0.122825838625431,0.3626555800437927,2025-09-12,3,0,18.43205451965332,short 15-29 d,mild,0.188
2,2019-02-15,2019-05-09,84,2019,2019,False,319.3931579589844,0.3300974369049072,0.7499285936355591,2019-04-01,50,7,85.76358795166016,long 60-119 d,severe,0.595
2,2020-02-03,2020-06-12,131,2020,2020,False,273.8715209960937,0.1862842589616775,0.5459201335906982,2020-03-13,59,30,132.4302978515625,extreme 120+ d,moderate,0.45
2,2020-12-30,2021-01-24,26,2020,2021,True,20.51652336120605,0.2163847237825393,0.3994101881980896,2021-01-16,7,0,37.1129150390625,short 15-29 d,moderate,0.269
2,2021-05-18,2021-07-06,50,2021,2021,False,78.30974578857422,0.2095302045345306,0.4926401078701019,2021-07-01,10,0,77.08576965332031,moderate 30-59 d,moderate,0.2
2,2022-05-07,2022-07-10,65,2022,2022,False,72.82536315917969,0.1362866014242172,0.503940224647522,2022-06-25,12,9,81.74270629882812,long 60-119 d,mild,0.185
2,2023-03-17,2023-07-04,110,2023,2023,False,277.3205261230469,0.2585247755050659,0.6683166027069092,2023-06-23,52,0,60.2967643737793,long 60-119 d,moderate,0.473
2,2023-08-04,2023-09-03,31,2023,2023,False,13.310664176940918,0.1996109336614608,0.5456860065460205,2023-08-06,12,5,25.329713821411133,moderate 30-59 d,moderate,0.387
2,2023-10-26,2023-11-26,32,2023,2023,False,6.558755397796631,0.7235918045043945,0.9771280288696288,2023-11-25,31,0,0.227508544921875,moderate 30-59 d,severe,0.969
2,2024-02-05,2024-05-15,101,2024,2024,False,170.30325317382812,0.1504437923431396,0.4762077629566192,2024-02-10,49,27,123.99391174316406,long 60-119 d,moderate,0.485
2,2024-08-04,2024-08-29,26,2024,2024,False,14.9071626663208,0.3841702342033386,0.746751070022583,2024-08-16,14,0,11.830732345581056,short 15-29 d,severe,0.538
2,2024-11-02,2024-12-04,33,2024,2024,False,5.592550754547119,0.5681074857711792,0.9868175387382508,2024-11-10,10,0,0.1099487245082855,moderate 30-59 d,moderate,0.303
2,2025-03-18,2025-06-19,94,2025,2025,False,128.32647705078125,0.1046879142522811,0.4500665068626404,2025-05-09,26,14,199.74734497070312,long 60-119 d,moderate,0.277
2,2025-10-17,2025-12-18,63,2025,2025,False,3.827994108200073,0.1911259293556213,0.7582003474235535,2025-11-19,9,7,2.240142822265625,long 60-119 d,mild,0.143
3,2019-03-11,2019-04-23,44,2019,2019,False,185.81622314453125,0.3744798898696899,0.6995576024055481,2019-03-30,32,0,100.74999237060548,moderate 30-59 d,severe,0.727
3,2020-02-04,2020-04-04,61,2020,2020,False,168.7197265625,0.2954785525798797,0.5351920127868652,2020-03-13,39,0,142.65264892578125,long 60-119 d,severe,0.639
3,2020-05-08,2020-06-06,30,2020,2020,False,30.46459197998047,0.1014893949031829,0.255499005317688,2020-05-13,3,2,214.50233459472656,moderate 30-59 d,mild,0.1
3,2021-01-03,2021-02-18,47,2021,2021,False,24.12209892272949,0.1286474615335464,0.4783351123332977,2021-01-17,6,9,43.85043716430664,moderate 30-59 d,mild,0.128
3,2021-06-16,2021-07-04,19,2021,2021,False,22.052818298339844,0.2283069640398025,0.5241939425468445,2021-07-01,7,0,65.42375946044922,short 15-29 d,moderate,0.368
3,2022-05-22,2022-07-11,51,2022,2022,False,51.43984222412109,0.1528281718492508,0.5900984406471252,2022-06-25,12,8,65.05406188964844,moderate 30-59 d,moderate,0.235
3,2023-04-01,2023-07-04,95,2023,2023,False,180.3802795410156,0.2019908130168914,0.4822783768177032,2023-06-23,42,3,86.0409164428711,long 60-119 d,moderate,0.442
3,2023-08-05,2023-08-22,18,2023,2023,False,7.565424919128418,0.2382263094186782,0.3873527944087982,2023-08-06,11,0,36.4675407409668,short 15-29 d,severe,0.611
3,2024-02-05,2024-04-23,79,2024,2024,False,111.9417495727539,0.1492052227258682,0.4152803421020508,2024-02-10,36,16,121.99259185791016,long 60-119 d,moderate,0.456
3,2024-08-04,2024-08-29,26,2024,2024,False,20.58252716064453,0.5267794132232666,0.8972710967063904,2024-08-16,24,0,4.810418128967285,short 15-29 d,severe,0.923
3,2025-03-25,2025-05-30,67,2025,2025,False,102.01343536376952,0.1303942650556564,0.4576375782489776,2025-05-10,30,7,179.92298889160156,long 60-119 d,moderate,0.448
4,2019-03-20,2019-04-19,31,2019,2019,False,93.16175079345705,0.2805691361427307,0.4426601827144623,2019-04-06,28,0,177.82940673828125,moderate 30-59 d,severe,0.903
4,2019-10-01,2019-10-29,29,2019,2019,False,1.5055710077285769,0.1457573026418686,0.3256298005580902,2019-10-11,3,3,6.577327728271484,short 15-29 d,mild,0.103
4,2020-02-03,2020-04-03,61,2020,2020,False,91.14781188964844,0.1573363244533538,0.3360377848148346,2020-03-26,31,5,158.4891357421875,long 60-119 d,severe,0.508
4,2020-10-15,2020-11-03,20,2020,2020,False,2.4933550357818604,0.4250059723854065,0.7032485008239746,2020-10-25,14,0,2.5567281246185303,short 15-29 d,severe,0.7
4,2021-06-15,2021-07-06,22,2021,2021,False,17.438762664794922,0.1306716352701187,0.340511679649353,2021-06-30,7,0,115.66661834716795,short 15-29 d,moderate,0.318
4,2023-04-01,2023-05-09,39,2023,2023,False,118.26942443847656,0.2781642079353332,0.5323669910430908,2023-04-15,33,0,154.5939483642578,moderate 30-59 d,severe,0.846
4,2023-09-01,2023-09-21,21,2023,2023,False,15.046716690063477,0.8302305936813354,0.9635926485061646,2023-09-03,21,0,1.2947310209274292,short 15-29 d,severe,1.0
4,2023-10-22,2023-11-26,36,2023,2023,False,5.895748615264893,0.4661188721656799,0.8468536138534546,2023-11-17,30,0,1.7205305099487305,moderate 30-59 d,severe,0.833
4,2024-02-05,2024-02-22,18,2024,2024,False,16.55745506286621,0.1210587844252586,0.3352153301239013,2024-02-12,3,3,152.1837615966797,short 15-29 d,mild,0.167
4,2024-08-04,2024-08-31,28,2024,2024,False,17.13880157470703,0.2917060256004333,0.5777580142021179,2024-08-25,15,0,22.324710845947266,short 15-29 d,severe,0.536
4,2024-11-02,2024-12-29,58,2024,2024,False,17.324676513671875,0.525626003742218,0.9661131501197816,2024-11-10,42,4,0.3428082168102264,moderate 30-59 d,severe,0.724
4,2025-04-20,2025-05-18,29,2025,2025,False,53.11997604370117,0.1776704639196396,0.3416816890239715,2025-05-10,26,0,198.69265747070312,short 15-29 d,severe,0.897
4,2025-10-03,2025-11-18,47,2025,2025,False,5.690611839294434,0.362004667520523,0.7528847455978394,2025-11-09,34,4,2.462550640106201,moderate 30-59 d,severe,0.723
5,2019-03-21,2019-04-18,29,2019,2019,False,34.31757354736328,0.121834710240364,0.2374776154756546,2019-04-06,15,3,219.1195373535156,short 15-29 d,severe,0.517
5,2019-10-01,2019-10-29,29,2019,2019,False,5.221574783325195,0.314330518245697,0.5059475898742676,2019-10-16,18,0,8.325543403625488,short 15-29 d,severe,0.621
5,2020-03-12,2020-04-03,23,2020,2020,False,28.19132423400879,0.1261953711509704,0.2757866680622101,2020-03-26,13,3,207.6537170410156,short 15-29 d,severe,0.565
5,2020-10-14,2020-11-03,21,2020,2020,False,5.1918487548828125,0.4108230471611023,0.5859267115592957,2020-11-01,19,0,8.038443565368652,short 15-29 d,severe,0.905
5,2021-06-15,2021-07-06,22,2021,2021,False,16.17072105407715,0.1194441094994545,0.2859443724155426,2021-06-30,11,0,126.92717742919922,short 15-29 d,severe,0.5
5,2021-10-03,2021-10-21,19,2021,2021,False,1.0479156970977783,0.0818035826086998,0.3141599297523498,2021-10-05,5,3,11.680465698242188,short 15-29 d,moderate,0.263
5,2022-02-27,2022-03-24,26,2022,2022,False,24.88013458251953,0.0910893678665161,0.2486718147993087,2022-03-02,12,8,201.478256225586,short 15-29 d,moderate,0.462
5,2023-03-31,2023-05-02,33,2023,2023,False,77.82576751708984,0.2377278208732605,0.4706047773361206,2023-04-17,30,0,158.3656005859375,moderate 30-59 d,severe,0.909
5,2023-09-01,2023-09-21,21,2023,2023,False,19.500864028930664,0.907063901424408,0.957913339138031,2023-09-08,21,0,1.352616786956787,short 15-29 d,severe,1.0
5,2023-10-22,2023-11-25,35,2023,2023,False,7.292989253997803,0.2945036590099334,0.6802988648414612,2023-11-17,12,1,7.385391712188721,moderate 30-59 d,moderate,0.343
5,2024-02-04,2024-02-23,20,2024,2024,False,27.20977210998535,0.1700479835271835,0.4276044368743896,2024-02-12,11,5,131.31654357910156,short 15-29 d,severe,0.55
5,2024-11-02,2024-12-28,57,2024,2024,False,20.04379653930664,0.3539956510066986,0.7547436356544495,2024-11-10,34,6,5.286021709442139,moderate 30-59 d,severe,0.596
5,2025-01-29,2025-02-12,15,2025,2025,False,10.100767135620115,0.0996805280447006,0.2427328824996948,2025-01-29,0,0,140.5564422607422,short 15-29 d,mild,0.0
5,2025-04-20,2025-05-18,29,2025,2025,False,64.96398162841797,0.2238388508558273,0.3218314051628113,2025-05-10,27,0,201.8396759033203,short 15-29 d,severe,0.931
5,2025-10-03,2025-11-18,47,2025,2025,False,17.91202163696289,0.5989853143692017,0.8328328728675842,2025-11-09,47,0,3.5644538402557373,moderate 30-59 d,severe,1.0
6,2019-03-21,2019-04-14,25,2019,2019,False,14.30368995666504,0.0574186220765113,0.1674159616231918,2019-03-21,5,3,241.7167205810547,short 15-29 d,moderate,0.2
6,2019-09-27,2019-10-14,18,2019,2019,False,4.389500141143799,0.4884671568870544,0.8578271269798279,2019-10-10,9,0,1.9734708070755005,short 15-29 d,severe,0.5
6,2020-02-03,2020-02-17,15,2020,2020,False,19.552270889282227,0.1903298646211624,0.3799241483211517,2020-02-10,6,0,130.03660583496094,short 15-29 d,moderate,0.4
6,2020-03-13,2020-04-04,23,2020,2020,False,32.19026184082031,0.1449292004108429,0.3652443289756775,2020-03-26,10,0,183.977294921875,short 15-29 d,moderate,0.435
6,2020-10-14,2020-11-03,21,2020,2020,False,1.6477537155151367,0.1719137281179428,0.4434903860092163,2020-11-02,0,1,7.272809028625488,short 15-29 d,mild,0.0
6,2021-06-15,2021-07-12,28,2021,2021,False,21.11248588562012,0.1198468878865242,0.3226417005062103,2021-07-01,8,3,125.6482391357422,short 15-29 d,moderate,0.286
6,2021-10-03,2021-10-22,20,2021,2021,False,6.98270320892334,0.7628504633903503,1.0,2021-10-08,20,0,0.0,short 15-29 d,severe,1.0
6,2022-02-28,2022-03-25,26,2022,2022,False,19.723369598388672,0.0786746814846992,0.2159738838672638,2022-03-14,5,2,226.6245574951172,short 15-29 d,mild,0.192
6,2023-04-01,2023-05-02,32,2023,2023,False,62.62644577026367,0.1930309534072876,0.4911645352840423,2023-04-17,21,3,150.74325561523438,moderate 30-59 d,severe,0.656
6,2023-09-01,2023-09-21,21,2023,2023,False,14.10245132446289,0.5147740244865417,0.8711137175559998,2023-09-01,14,1,6.235325336456299,short 15-29 d,severe,0.667
6,2023-10-22,2023-11-26,36,2023,2023,False,9.628470420837402,0.5497975945472717,0.9620426297187804,2023-11-17,14,0,0.5761023163795471,moderate 30-59 d,moderate,0.389
6,2024-02-04,2024-02-24,21,2024,2024,False,28.17646789550781,0.1843519955873489,0.5093069672584534,2024-02-10,8,4,102.90363311767578,short 15-29 d,moderate,0.381
6,2024-08-24,2024-10-02,40,2024,2024,False,15.247015953063965,0.3052186369895935,0.596107542514801,2024-09-28,23,2,7.892071723937988,moderate 30-59 d,severe,0.575
6,2024-11-02,2024-12-27,56,2024,2024,False,14.521957397460938,0.4329178929328918,0.9222205281257628,2024-11-14,33,12,1.1430461406707764,moderate 30-59 d,severe,0.589
6,2025-04-20,2025-05-18,29,2025,2025,False,40.87286376953125,0.1449626982212066,0.260744571685791,2025-05-07,23,0,216.3589782714844,short 15-29 d,severe,0.793
6,2025-10-04,2025-11-18,46,2025,2025,False,11.357157707214355,0.531019389629364,1.0,2025-11-09,27,0,0.0,moderate 30-59 d,severe,0.587
7,2019-03-21,2019-04-19,30,2019,2019,False,18.07425117492676,0.0624499879777431,0.1510114222764969,2019-03-29,11,3,233.8219146728516,moderate 30-59 d,moderate,0.367
7,2019-10-02,2019-10-17,16,2019,2019,False,4.883072853088379,0.3048032820224762,0.4164254665374756,2019-10-11,9,0,17.41349220275879,short 15-29 d,severe,0.562
7,2020-03-12,2020-04-03,23,2020,2020,False,32.1271858215332,0.1531084924936294,0.3279986679553985,2020-03-17,13,0,182.1976928710937,short 15-29 d,severe,0.565
7,2020-10-13,2020-11-03,22,2020,2020,False,8.235820770263672,0.3652940690517425,0.5792495012283325,2020-11-01,19,0,13.461678504943848,short 15-29 d,severe,0.864
7,2021-06-15,2021-07-09,25,2021,2021,False,22.91825485229492,0.1384566873311996,0.2875500917434692,2021-06-30,12,2,134.70767211914062,short 15-29 d,moderate,0.48
7,2022-04-29,2022-05-30,32,2022,2022,False,26.815731048583984,0.0851793140172958,0.2747868299484253,2022-05-12,12,2,210.0668182373047,moderate 30-59 d,moderate,0.375
7,2022-06-14,2022-07-07,24,2022,2022,False,12.235177993774414,0.0645922943949699,0.1663423031568527,2022-06-21,4,4,168.5027618408203,short 15-29 d,mild,0.167
7,2023-03-21,2023-05-02,43,2023,2023,False,66.5520248413086,0.1617884784936905,0.4433484375476837,2023-04-15,27,2,159.11026000976562,moderate 30-59 d,severe,0.628
7,2023-08-31,2023-09-21,22,2023,2023,False,21.248151779174805,0.6404966115951538,0.8833073377609253,2023-09-08,20,0,5.458689689636231,short 15-29 d,severe,0.909
7,2023-10-22,2023-11-25,35,2023,2023,False,11.213233947753906,0.2843702435493469,0.6372337341308594,2023-11-18,18,0,12.902545928955078,moderate 30-59 d,severe,0.514
7,2024-02-05,2024-02-24,20,2024,2024,False,21.65205192565918,0.1463060677051544,0.349819540977478,2024-02-12,7,3,140.1995391845703,short 15-29 d,moderate,0.35
7,2024-08-24,2024-09-12,20,2024,2024,False,7.812439441680908,0.1943878680467605,0.3444776833057403,2024-08-28,12,0,38.888431549072266,short 15-29 d,severe,0.6
7,2024-11-02,2024-12-28,57,2024,2024,False,41.53743362426758,0.5557974576950073,0.914231300354004,2024-11-10,37,0,2.916943550109864,moderate 30-59 d,severe,0.649
7,2025-01-28,2025-02-13,17,2025,2025,False,17.751144409179688,0.1579219251871109,0.2478643804788589,2025-01-29,2,0,136.6815643310547,short 15-29 d,mild,0.118
