bidx,week,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years,doy_start,doy_end
0,1,87.586876,47.641556,25.543406,57.904293,81.85079,21,1,7
0,2,77.42401,48.610107,27.535809,40.065998,72.06645,21,8,14
0,3,75.45868,42.228657,20.528057,30.976643,78.99248,21,15,21
0,4,69.60289,53.662056,10.157961,21.993168,58.492416,21,22,28
0,5,72.03668,51.141758,9.56831,12.603535,65.689575,21,29,35
0,6,80.27435,61.87928,14.806027,27.831459,66.306,21,36,42
0,7,66.85787,57.59561,12.574926,15.127297,58.90016,21,43,49
0,8,103.18464,53.121056,49.067593,53.576683,93.94656,21,50,56
0,9,85.8277,44.083244,17.916862,52.439407,93.31319,21,57,63
0,10,83.67744,44.39172,26.182505,50.07019,81.73849,21,64,70
0,11,63.649326,39.50563,13.161328,33.93056,55.817368,21,71,77
0,12,87.47757,51.455257,33.32437,37.52618,79.82541,21,78,84
0,13,84.131714,43.188583,21.3021,49.414536,93.1337,21,85,91
0,14,90.06529,49.119858,31.495323,50.60617,90.06102,21,92,98
0,15,98.93888,52.947903,42.854176,65.035805,99.654854,21,99,105
0,16,98.4586,45.07674,41.3371,56.230988,107.45169,21,106,112
0,17,106.38041,50.616417,53.939556,72.66142,104.36999,21,113,119
0,18,103.29705,33.978172,63.562286,64.8177,108.25444,21,120,126
0,19,97.507385,35.289165,45.614532,71.461525,103.96122,21,127,133
0,20,96.64455,30.68212,54.70025,77.56762,101.063614,21,134,140
0,21,90.907,29.31894,57.82973,62.04964,86.103264,21,141,147
0,22,90.51873,23.471367,62.20183,70.272385,89.9303,21,148,154
0,23,68.42353,27.55635,33.582245,49.54058,68.21857,21,155,161
0,24,64.55724,26.419184,24.885183,49.603252,64.08545,21,162,168
0,25,60.056293,21.294535,28.942522,41.29313,62.37417,21,169,175
0,26,45.273037,17.828941,23.437454,28.092392,47.01789,21,176,182
0,27,51.856,25.833138,22.642775,26.421663,47.658325,21,183,189
0,28,51.19811,20.077696,32.27687,37.701454,47.8742,21,190,196
0,29,36.50467,20.051542,14.716801,17.308325,35.921,21,197,203
0,30,43.161762,27.460032,8.196146,19.049814,38.43064,21,204,210
0,31,39.301723,30.572077,14.798489,19.468227,34.433613,21,211,217
0,32,34.797676,21.74793,13.422823,18.016382,30.908112,21,218,224
0,33,25.892206,25.293009,2.5476112,6.2544656,18.599417,21,225,231
0,34,27.79864,28.755344,1.5562613,2.2710207,18.51076,21,232,238
0,35,14.6804085,15.4843,1.5031395,1.8869023,12.329685,21,239,245
